Guid,Name,SBQQ__LookupField__c,SBQQ__MatchType__c,SBQQ__Operator__c,SBQQ__ParentRuleIsActive__c,SBQQ__PriceRule2__c,SBQQ__ProductRule__c,SBQQ__RuleLookupObject__c,SBQQ__RuleTargetsCalculator__c,SBQQ__TestedField__c,SBQQ__TestedObject__c,SBQQ__TestedValue__c
b784634d-8335-497f-9491-7decc1dab173,1,Approval_Level__c,Static Value,equals,false,f179679d-0dd2-47d5-b9fd-63a8c18aae33,#N/A,Approval_Threshold__c,true,#N/A,#N/A,2
d585f22a-a77c-4d3e-94c9-0675c6cc428d,2,Threshold_Type__c,Static Value,equals,false,808b5fa3-de52-4491-863f-0275290e7330,#N/A,Approval_Threshold__c,true,#N/A,#N/A,Discount
49c59b3f-b132-4225-8722-cb59d754e91a,3,Resource_Location__c,Field Value,equals,false,c03b4be9-4f92-46b5-8b67-bb809c9379f9,#N/A,Professional_Services_Rate__c,true,Resource_Location__c,Quote Line,#N/A
e10de1a1-c513-4aa6-87f9-8da21919c209,4,Engineering_Options__c,Field Value,equals,false,d5a0d090-8751-40fd-8a63-13af320d4f17,#N/A,Professional_Services_Rate__c,true,Engineering_Options__c,Quote Line,#N/A
7a703ff1-e1ce-4553-9535-3c98f5c71a32,5,Resource_Location__c,Field Value,equals,false,5a6f0ffa-c44f-4c1a-b33c-de3816b8328d,#N/A,Professional_Services_Rate__c,true,Resource_Location__c,Quote Line,#N/A
25153eec-1f06-4df4-9d6f-b89af13132d2,6,Approval_Level__c,Static Value,equals,false,3413fe6b-36a1-461d-8c43-bf305fe68d3c,#N/A,Approval_Threshold__c,true,#N/A,#N/A,1
65f2068e-e81d-40ed-939d-28ccf6c8891e,7,Product__c,Field Value,equals,false,6fe97c32-7928-4c45-ae8a-158c621d9b14,#N/A,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
dc0300b3-d22e-4d8b-b511-5a0bdd06eab9,8,Product__c,Field Value,equals,false,ec1b0e8a-a3a7-442a-9735-8e5e7096e486,#N/A,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
47357f86-a8cd-4e02-a431-ca4f0a5ffd70,9,Lower_Bound_Percent__c,Field Value,greater or equals,false,27c8740f-f6b8-45bf-9340-44989be5c83f,#N/A,Approval_Threshold__c,true,Discretionary_Discount_Decimal__c,Quote Line,#N/A
b1869fd9-080e-4830-be83-cb31bac2357c,10,Product__c,Field Value,equals,false,db6197ac-388a-4af7-92d0-c84458a2b0a3,#N/A,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
d6a5d66d-5180-4bdd-9cb1-a6af9732c359,11,Approval_Level__c,Static Value,equals,false,887e7aef-a0d5-4616-a6a5-2fee3fbfd6d0,#N/A,Approval_Threshold__c,true,#N/A,#N/A,1
2ab1a1e7-710f-422d-9446-56495e144cbd,12,Product__c,Field Value,equals,false,da447496-4e6f-4a7d-8a15-72732109a2a1,#N/A,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
a2c6e105-a813-463e-84b5-faa923fe4d8a,13,Upper_Bound_Percent__c,Field Value,less than,false,27c8740f-f6b8-45bf-9340-44989be5c83f,#N/A,Approval_Threshold__c,true,Discretionary_Discount_Decimal__c,Quote Line,#N/A
849591ce-ef9e-49a5-9c30-9dc6218d792a,14,Lower_Bound_Percent__c,Field Value,greater or equals,false,ec524a03-1e8a-4ee6-8247-591b7d5d6da0,#N/A,Approval_Threshold__c,true,Discretionary_Discount_Decimal__c,Quote Line,#N/A
7602e994-7be0-4f5a-b217-9bf7376dd159,15,Engineering_Options__c,Field Value,equals,false,c03b4be9-4f92-46b5-8b67-bb809c9379f9,#N/A,Professional_Services_Rate__c,true,Engineering_Options__c,Quote Line,#N/A
36f794e7-dedb-44ba-af66-865ea293b90f,16,Role__c,Field Value,equals,false,5a6f0ffa-c44f-4c1a-b33c-de3816b8328d,#N/A,Professional_Services_Rate__c,true,SBQQ__Product__c,Quote Line,#N/A
5336dbc7-2bbc-46a7-a7cd-13ba7ffd5194,17,Lower_Bound_Percent__c,Field Value,greater or equals,false,6fe97c32-7928-4c45-ae8a-158c621d9b14,#N/A,Approval_Threshold__c,true,Discretionary_Discount_Decimal__c,Quote Line,#N/A
22941687-6e1b-4a6e-b813-125eeddf6672,18,Role__c,Field Value,equals,false,c03b4be9-4f92-46b5-8b67-bb809c9379f9,#N/A,Professional_Services_Rate__c,true,SBQQ__Product__c,Quote Line,#N/A
613de5b6-b849-4a43-b89a-f459a7f3ba23,19,Upper_Bound_Percent__c,Field Value,less than,false,ec524a03-1e8a-4ee6-8247-591b7d5d6da0,#N/A,Approval_Threshold__c,true,Discretionary_Discount_Decimal__c,Quote Line,#N/A
dc61cb9f-a0b9-42b8-a3e3-359a61b671b4,20,Approval_Level__c,Static Value,equals,false,28642394-525e-4049-a073-677c9dbc3229,#N/A,Approval_Threshold__c,true,#N/A,#N/A,2
5833086b-9fdc-435a-8f38-7c406fe3eb69,21,Product__c,Field Value,equals,false,27c8740f-f6b8-45bf-9340-44989be5c83f,#N/A,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
41843b5c-1ac2-4940-a6ca-4476cdee5096,22,Product__c,Field Value,equals,false,28642394-525e-4049-a073-677c9dbc3229,#N/A,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
f4b598e1-381c-4406-b05a-3eb100f4dad9,23,Lower_Bound_Percent__c,Field Value,greater or equals,false,808b5fa3-de52-4491-863f-0275290e7330,#N/A,Approval_Threshold__c,true,Discretionary_Discount_Decimal__c,Quote Line,#N/A
45eebf1d-ac08-4616-b703-96eeaf0f94ab,24,Role__c,Field Value,equals,false,d5a0d090-8751-40fd-8a63-13af320d4f17,#N/A,Professional_Services_Rate__c,true,SBQQ__Product__c,Quote Line,#N/A
2e09241c-aa1a-433b-a5d1-98841b8e85d2,25,Resource_Location__c,Field Value,equals,false,341d60d1-5365-4fcb-a356-a52b2b38e157,#N/A,Professional_Services_Rate__c,true,Resource_Location__c,Quote Line,#N/A
c2b22e38-5dcf-42d9-9e4e-e72529b8c9db,26,Approval_Level__c,Static Value,equals,false,db6197ac-388a-4af7-92d0-c84458a2b0a3,#N/A,Approval_Threshold__c,true,#N/A,#N/A,3
16d98824-6eb3-4c83-9cea-e6ac9bac529b,28,Approval_Level__c,Static Value,equals,false,c71d095b-3473-4d5f-b3b0-62735f85ca51,#N/A,Approval_Threshold__c,true,#N/A,#N/A,1
bb21ef85-10b7-4e0c-86e4-1fbc421160ae,29,Approval_Level__c,Static Value,equals,false,da447496-4e6f-4a7d-8a15-72732109a2a1,#N/A,Approval_Threshold__c,true,#N/A,#N/A,3
c3aef19a-6547-478c-ab48-361bdfa5a1af,30,Product__c,Field Value,equals,false,ec524a03-1e8a-4ee6-8247-591b7d5d6da0,#N/A,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
f03311e1-3842-4936-b42d-b0c02bc07db9,31,Engineering_Options__c,Field Value,equals,false,341d60d1-5365-4fcb-a356-a52b2b38e157,#N/A,Professional_Services_Rate__c,true,Engineering_Options__c,Quote Line,#N/A
844c27e1-2771-4418-9ab0-44eede805760,32,Upper_Bound_Percent__c,Field Value,less than,false,6fe97c32-7928-4c45-ae8a-158c621d9b14,#N/A,Approval_Threshold__c,true,Discretionary_Discount_Decimal__c,Quote Line,#N/A
3a8210fe-6cd1-4769-8ae1-b9eb2f4f2498,33,Product__c,Field Value,equals,false,69f313b8-d6c2-4f04-9c56-e5bdd531d10c,#N/A,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
9064795f-cf42-41f6-9b0d-e6caf7a5f36c,34,Threshold_Type__c,Static Value,equals,false,27c8740f-f6b8-45bf-9340-44989be5c83f,#N/A,Approval_Threshold__c,true,#N/A,#N/A,Discount
1733a29f-cdc1-4138-9814-ecd5fc04eeb5,35,Approval_Level__c,Static Value,equals,false,6cb97072-e533-4b92-b639-e410462e3639,#N/A,Approval_Threshold__c,true,#N/A,#N/A,1
ef98ea00-a913-4bdb-b2e2-e94c06d27229,36,Role__c,Field Value,equals,false,341d60d1-5365-4fcb-a356-a52b2b38e157,#N/A,Professional_Services_Rate__c,true,SBQQ__Product__c,Quote Line,#N/A
62c6a50d-9aa0-49e1-8c01-83270c997901,37,Approval_Level__c,Static Value,equals,false,69f313b8-d6c2-4f04-9c56-e5bdd531d10c,#N/A,Approval_Threshold__c,true,#N/A,#N/A,3
74d5a8b8-c9ef-47ce-bda6-f71626fdcde0,38,Product__c,Field Value,equals,false,887e7aef-a0d5-4616-a6a5-2fee3fbfd6d0,#N/A,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
9223f826-dfc6-4272-a86f-986e75a8620f,39,Product__c,Field Value,equals,false,3b272faf-ed20-413e-ac04-7ae07897ebf3,#N/A,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
c754eb87-69be-474b-b222-1b16bbcf0a3e,40,Approval_Level__c,Static Value,equals,false,ec1b0e8a-a3a7-442a-9735-8e5e7096e486,#N/A,Approval_Threshold__c,true,#N/A,#N/A,2
5c908c1f-9df6-4cc4-a4e1-4b86087a5d14,41,Threshold_Type__c,Static Value,equals,false,ec524a03-1e8a-4ee6-8247-591b7d5d6da0,#N/A,Approval_Threshold__c,true,#N/A,#N/A,Discount
4413b98c-2a9b-4b5a-9404-3bb954b94763,42,Upper_Bound_Percent__c,Field Value,less than,false,808b5fa3-de52-4491-863f-0275290e7330,#N/A,Approval_Threshold__c,true,Discretionary_Discount_Decimal__c,Quote Line,#N/A
1123a827-f453-4351-9f69-c47906f1d85d,43,Product__c,Field Value,equals,false,f179679d-0dd2-47d5-b9fd-63a8c18aae33,#N/A,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
caf4afea-feef-437f-bb75-fce9d5c8a96b,44,Resource_Location__c,Field Value,equals,false,d5a0d090-8751-40fd-8a63-13af320d4f17,#N/A,Professional_Services_Rate__c,true,Resource_Location__c,Quote Line,#N/A
6614c927-3ef2-4251-bc9b-6f06be4ac7f3,45,Product__c,Field Value,equals,false,3413fe6b-36a1-461d-8c43-bf305fe68d3c,#N/A,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
eba4d79c-e020-42fe-8132-6cc0c411c36b,46,Threshold_Type__c,Static Value,equals,false,6fe97c32-7928-4c45-ae8a-158c621d9b14,#N/A,Approval_Threshold__c,true,#N/A,#N/A,Discount
3a4cc6f2-b328-4cc7-afbc-72565f31cf50,47,Product__c,Field Value,equals,false,6cb97072-e533-4b92-b639-e410462e3639,#N/A,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
b5430788-768a-4348-9de4-d16890a4d367,48,Product__c,Field Value,equals,false,808b5fa3-de52-4491-863f-0275290e7330,#N/A,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
8975864f-b736-47dd-a4ab-c5e752b5cecf,49,Product__c,Field Value,equals,false,c71d095b-3473-4d5f-b3b0-62735f85ca51,#N/A,Approval_Threshold__c,true,SBQQ__Product__c,Quote Line,#N/A
ed67fdc8-55cf-469f-b0b7-d22abe1a7402,50,Engineering_Options__c,Field Value,equals,false,5a6f0ffa-c44f-4c1a-b33c-de3816b8328d,#N/A,Professional_Services_Rate__c,true,Engineering_Options__c,Quote Line,#N/A
912cf13e-4bd8-4f19-951c-8aca18eec0bf,51,Approval_Level__c,Static Value,equals,false,3b272faf-ed20-413e-ac04-7ae07897ebf3,#N/A,Approval_Threshold__c,true,#N/A,#N/A,2
